wallet,name,score,pass,fail_reasons,trades_n,episodes_n,closed_n,open_n,history_days,days_since_last,roi_copy,roi_trimmed,t_stat,winrate,roi_hold,roi_wallet,roi_half1,roi_half2,roi_last30,max_dd_stakes,conc_p95,conc_max,median_hold_h,both_sides_share,snipe_share,live_share,median_volume,share_entry_ge90,share_entry_lt10,profit_share_ge90,profit_share_lt10,profit_share_top1,short_crypto_share,edge_all,exit_value_add,size_signal,trades_truncated,top_category,top_segments,approved_segments
0x233bacfb515aad6871027b95c5e4c6166f5c1f2c,0x233BACFB515aaD,-0.0218,False,t<2.0;concurrency_p95>8;drawdown,2146,870,762,100,193.8,0.0,0.0681,-0.0362,1.81,0.644,0.0655,0.0283,0.0369,0.0992,0.7503,12.25,98.0,119,19.42,0.095,0.0,0.471,47730,0.261,0.029,0.017,0.163,0.083,0.119,0.0085,0.0062,0.1046,False,Politics,"Politics / price=0.00-0.10 (n=11, roi=+1.11) | Politics (n=448, roi=+0.13) | Politics / Iran / price=0.00-0.10 (n=4, roi=+1.01)","Politics (n=448, roi=+0.13) | Politics / price=0.30-0.50 (n=51, roi=+0.26)"
0x619dc40631c5f78606d17ed1528d62898096b31c,0x619DC40631C5f78606d17Ed1528d62898096B31C-1767915763461,-0.0218,False,t<2.0;concurrency_p95>8;drawdown;unstable_halves,3343,1289,1258,30,210.4,0.2,0.0325,-0.1574,0.83,0.437,-0.0394,0.0068,-0.0896,0.1547,0.3552,94.54,33.0,41,6.97,0.081,0.004,0.667,48250,0.017,0.187,0.014,0.123,0.033,0.281,0.0014,0.1002,0.2034,False,Politics,"Other (n=162, roi=+0.32) | Other / price=0.00-0.10 (n=50, roi=+0.39) | Other / Iran / type=binary (n=70, roi=+0.28)",
0xfb038b47ffa7d44836836c7923270bddd5671a23,NoAddress,-0.022,False,t<2.0;concurrency_p95>8;low_liquidity;hold<1h;entries>=0.90;drawdown,1878,565,376,182,179.6,0.2,0.22,-0.0796,0.83,0.798,0.3512,0.216,0.0082,0.4317,-0.1219,16.57,176.0,189,0.82,0.031,0.0,0.755,904,0.67,0.066,0.14,0.01,0.183,0.0,-0.0023,-3.0594,-0.5318,False,Sports,"Sports / Tennis / Wimbledon (n=16, roi=+2.82) | Sports / Tennis / price=0.00-0.10 (n=21, roi=+2.04) | Sports / price=0.00-0.10 (n=24, roi=+1.83)",
0x7bccd2d3dfd370f65aa3cc5d51c7c9649ad9b4fa,genrysetaj,-0.0221,False,t<2.0;concurrency_p95>8;drawdown,1654,714,713,1,130.0,0.0,0.066,-0.0452,1.47,0.513,0.055,0.0453,0.131,0.0012,0.1549,15.75,9.0,12,3.01,0.095,0.0,0.99,659586,0.0,0.018,0.0,0.0,0.01,0.0,0.0336,0.0137,0.1643,False,Esports,"Esports / price=0.30-0.50 (n=185, roi=+0.15) | Esports / Esports / price=0.30-0.50 (n=185, roi=+0.15) | Esports / Esports / League of Legends (n=378, roi=+0.09)",
0x1cff72c8dddc30a64486fda6eab71ab5f9243984,sng888,-0.0221,False,t<2.0;concurrency_p95>8;drawdown,1447,1031,934,96,257.6,0.1,0.0637,-0.0392,1.69,0.531,0.074,0.0634,0.0313,0.0962,0.1881,22.3,94.0,99,5.22,0.016,0.0,0.396,37198,0.007,0.012,0.001,0.002,0.011,0.0,0.0403,-0.0186,-0.0838,False,Esports,"Esports / Esports / pre (n=359, roi=+0.12) | Esports (n=467, roi=+0.09) | Esports / Esports (n=467, roi=+0.09)","Sports / Tennis / pre (n=78, roi=+0.21)"
0x7734a9968eca086e4e88cbee68704ac6bf88017d,0x7734a9968eCa086e4E88CBEE68704AC6bF88017D-1766841207074,-0.0221,False,t<2.0;concurrency_p95>8;both_sides;drawdown,1250,826,782,44,251.3,0.2,0.0325,-0.0909,0.73,0.495,0.032,0.0247,0.0213,0.0436,0.0572,19.48,51.0,59,5.25,0.135,0.0,0.339,186478,0.012,0.014,0.003,0.002,0.021,0.009,0.0075,0.0855,-0.0152,False,Sports,"Sports / Tennis / price=0.10-0.30 (n=68, roi=+0.23) | Sports / Soccer / type=moneyline (n=42, roi=+0.30) | Sports / Soccer (n=76, roi=+0.21)",
0x41a5f984e0478abda9c3132a69b81cd6a51175bb,syn.,-0.0221,False,t<2.0;concurrency_p95>8;drawdown,1999,1016,1009,7,326.8,0.0,0.0601,-0.0394,1.68,0.511,0.0729,0.0593,0.0458,0.0745,0.0121,25.16,9.0,13,3.07,0.044,0.0,0.686,192068,0.003,0.004,0.0,0.003,0.014,0.008,0.0289,-0.0259,-0.0863,False,Esports,"Sports / price=0.10-0.30 (n=29, roi=+0.53) | Sports / Soccer / Dota 2 (n=163, roi=+0.22) | Sports / Soccer / price=0.10-0.30 (n=27, roi=+0.51)","Sports / Soccer / Dota 2 (n=163, roi=+0.22) | Sports / Soccer / type=moneyline (n=193, roi=+0.19) | Sports (n=220, roi=+0.17) | Sports / Soccer (n=217, roi=+0.16) | Sports / Soccer / pre (n=100, roi=+0.18) | Esports / price=0.70-0.90 (n=75, roi=+0.12)"
0x0d233076c4dac74786a165e0337732d89437251c,,-0.0221,False,t<2.0;concurrency_p95>8;both_sides;drawdown;history<90d,1405,576,575,1,56.5,0.2,0.0436,-0.0771,0.86,0.499,0.0436,0.033,0.0394,0.0478,0.1728,18.01,130.0,139,5.16,0.134,0.0,0.421,99985,0.003,0.002,0.0,0.0,0.024,0.0,0.0165,,-0.071,False,Sports,"Sports / Baseball / price=0.10-0.30 (n=26, roi=+0.45) | Sports / Tennis / pre (n=25, roi=+0.30) | Esports / price=0.10-0.30 (n=19, roi=+0.30)",
0x13abc936c275d38bcaa29f40a271d6828952e740,hHoudini,-0.0225,False,t<2.0;concurrency_p95>8;low_liquidity;drawdown;unstable_halves,361,220,220,0,127.6,0.0,0.0875,-0.2504,0.54,0.509,-0.0277,0.0853,-0.0537,0.2287,-0.1698,25.53,12.0,15,12.42,0.0,0.009,0.981,9580,0.214,0.168,0.025,0.159,0.132,0.023,0.0036,0.277,-0.2091,False,Sports,"Crypto (n=6, roi=+1.12) | Sports / Other sport / Taipei Daily Weather (n=4, roi=+0.74) | Crypto / Bitcoin (n=1, roi=+1.36)",
0xb8e825f9520bccd6b9799185c17fcb033568ef2b,Remesal,-0.0225,False,t<2.0;concurrency_p95>8;drawdown,4073,1522,1500,22,240.9,0.1,0.0255,-0.0834,0.81,0.579,0.0249,-0.0256,0.0327,0.0183,-0.2056,44.69,27.0,42,4.42,0.063,0.0,0.657,464226,0.052,0.017,0.012,0.016,0.024,0.011,0.003,0.0018,0.1015,False,Esports,"Esports / price=0.00-0.10 (n=17, roi=+0.70) | Esports / Esports / price=0.00-0.10 (n=17, roi=+0.70) | Esports / price=0.10-0.30 (n=99, roi=+0.22)",
